time,value
2024-09-27T12:00:32.760095516Z,0
2024-09-27T12:00:42.775737547Z,0
2024-09-27T12:00:52.759511649Z,0
2024-09-27T12:01:04.043530752Z,0
2024-09-27T12:01:15.320436347Z,1.8842723369598389
2024-09-27T12:01:26.590905478Z,1.9194189310073853
2024-09-27T12:01:37.850349124Z,1.8937370777130127
2024-09-27T12:01:49.139922967Z,1.903680682182312
2024-09-27T12:02:00.409909871Z,1.9051085710525513
2024-09-27T12:02:11.680428684Z,1.9097298383712769
2024-09-27T12:02:22.950576357Z,1.911649227142334
2024-09-27T12:02:35.367841984Z,1.9206180572509766
2024-09-27T12:02:45.502066321Z,1.9285781383514404
2024-09-27T12:02:56.773237667Z,1.187425136566162
2024-09-27T12:03:07.919563103Z,1.1972426176071167
2024-09-27T12:03:20.895325019Z,2.044250011444092
2024-09-27T12:03:30.633170601Z,2.0863757133483887
2024-09-27T12:03:40.50220421Z,2.0930466651916504
2024-09-27T12:03:51.135491861Z,2.197270393371582
2024-09-27T12:04:02.877020004Z,2.2248737812042236
2024-09-27T12:04:11.222718149Z,2.224121332168579
2024-09-27T12:04:21.11294021Z,2.226374387741089
2024-09-27T12:04:32.893100778Z,2.2278149127960205
2024-09-27T12:04:43.3671077Z,2.2313268184661865
2024-09-27T12:04:53.59618353Z,2.233246326446533
2024-09-27T12:05:04.877801989Z,2.232964277267456
2024-09-27T12:05:16.14777707Z,2.233703851699829
2024-09-27T12:05:27.412540794Z,2.236354351043701
2024-09-27T12:05:38.692478058Z,2.237386703491211
2024-09-27T12:05:49.951087459Z,2.2396674156188965
2024-09-27T12:06:01.223772799Z,0
2024-09-27T12:06:35.494172105Z,0
2024-09-27T12:06:45.676235617Z,0
2024-09-27T12:06:56.94649704Z,0
2024-09-27T12:07:08.606311273Z,0
2024-09-27T12:07:19.504679251Z,0
2024-09-27T12:07:36.636436351Z,0
2024-09-27T12:07:42.020728682Z,0
2024-09-27T12:07:53.3477531Z,0
2024-09-27T12:08:04.58902579Z,0
2024-09-27T12:08:15.838836864Z,0
2024-09-27T12:08:27.086326574Z,0
2024-09-27T12:08:40.142692356Z,0
2024-09-27T12:09:03.132495674Z,0
2024-09-27T12:09:13.158891157Z,0
2024-09-27T12:09:23.168189182Z,0
2024-09-27T12:09:33.129771701Z,1.8786550760269165
2024-09-27T12:09:46.756414781Z,1.027701735496521
2024-09-27T12:09:57.086407375Z,1.0222874879837036
2024-09-27T12:10:05.327116187Z,1.0237302780151367
2024-09-27T12:10:15.323229813Z,1.0233690738677979
2024-09-27T12:10:25.90499388Z,1.3217103481292725
2024-09-27T12:10:37.566995381Z,1.8776226043701172
2024-09-27T12:10:45.961677095Z,1.879849910736084
2024-09-27T12:10:55.95930454Z,1.886409878730774
2024-09-27T12:11:07.580444995Z,1.8877222537994385
2024-09-27T12:11:15.948867657Z,1.89063560962677
2024-09-27T12:11:28.56899519Z,1.8936494588851929
2024-09-27T12:11:36.672902019Z,1.8972020149230957
2024-09-27T12:11:46.874019316Z,1.991685152053833
2024-09-27T12:11:58.153125638Z,2.088331460952759
2024-09-27T12:12:11.100838691Z,2.090453863143921
2024-09-27T12:12:20.718768092Z,2.0938332080841064
2024-09-27T12:12:31.967124145Z,2.0957250595092773
2024-09-27T12:12:43.251468774Z,2.0961055755615234
2024-09-27T12:12:56.579105899Z,2.096043586730957
2024-09-27T12:13:05.744119599Z,2.09444260597229
2024-09-27T12:13:16.99192835Z,2.0959067344665527
2024-09-27T12:13:28.280018478Z,1.0497392416000366
2024-09-27T12:13:38.702152891Z,1.0482323169708252
2024-09-27T12:13:48.905296589Z,1.0466419458389282
2024-09-27T12:13:59.139123597Z,1.046455979347229
2024-09-27T12:14:14.543197975Z,1.0478731393814087
